TransactionID,DateKey,AccountKey,DepartmentKey,CustomerKey,ProductKey,ScenarioKey,Amount,Quantity
1,20230101,1,2,18,8,1,917.08,1
2,20230101,1,2,18,8,2,931.71,11
3,20230101,1,2,25,2,1,39345.04,23
4,20230101,1,2,25,2,2,39972.67,31
5,20230101,1,7,35,7,1,14080.72,16
6,20230101,1,7,35,7,2,14305.34,26
7,20230101,1,9,52,4,1,56806.88,49
8,20230101,1,9,52,4,2,57713.06,2
9,20230101,1,9,12,5,1,10504.95,37
10,20230101,1,9,12,5,2,10672.53,32
11,20230101,1,4,9,1,1,64377.74,35
12,20230101,1,4,9,1,2,65404.7,19
13,20230101,2,5,40,4,1,17778.38,35
14,20230101,2,5,40,4,2,16748.92,48
15,20230101,2,1,35,1,1,18395.53,29
16,20230101,2,1,35,1,2,17330.34,18
17,20230101,2,1,18,2,1,4914.78,35
18,20230101,2,1,18,2,2,4630.19,16
19,20230101,2,9,36,1,1,20737.49,4
20,20230101,2,9,36,1,2,19536.69,33
21,20230101,2,3,48,4,1,18045.97,8
22,20230101,2,3,48,4,2,17001.02,7
23,20230101,2,5,33,8,1,26008.88,12
24,20230101,2,5,33,8,2,24502.84,22
25,20230101,3,2,33,4,1,4151.33,47
26,20230101,3,2,33,4,2,4344.0,33
27,20230101,3,1,48,3,1,717.66,4
28,20230101,3,1,48,3,2,750.97,35
29,20230101,3,5,17,4,1,2545.27,28
30,20230101,3,5,17,4,2,2663.4,30
31,20230101,3,8,53,6,1,613.16,35
32,20230101,3,8,53,6,2,641.62,41
33,20230101,4,9,33,0,1,28199.41,0
34,20230101,4,9,33,0,2,29371.05,0
35,20230101,4,1,21,0,1,5980.49,0
36,20230101,4,1,21,0,2,6228.97,0
37,20230101,4,1,33,0,1,36388.11,0
38,20230101,4,1,33,0,2,37899.98,0
39,20230101,5,1,50,0,1,5505.4,0
40,20230101,5,1,50,0,2,5774.29,0
41,20230101,5,4,22,0,1,20389.74,0
42,20230101,5,4,22,0,2,21385.63,0
43,20230101,5,2,27,0,1,29165.55,0
44,20230101,5,2,27,0,2,30590.07,0
45,20230101,6,2,29,0,1,7364.84,0
46,20230101,6,2,29,0,2,7527.03,0
47,20230101,6,2,26,0,1,4737.8,0
48,20230101,6,2,26,0,2,4842.13,0
49,20230101,6,6,25,0,1,4190.48,0
50,20230101,6,6,25,0,2,4282.76,0
51,20230101,6,4,60,0,1,4254.39,0
52,20230101,6,4,60,0,2,4348.08,0
53,20230101,7,1,51,0,1,9500.42,0
54,20230101,7,1,51,0,2,9128.69,0
55,20230101,7,2,28,0,1,3236.26,0
56,20230101,7,2,28,0,2,3109.63,0
57,20230101,7,3,32,0,1,22231.55,0
58,20230101,7,3,32,0,2,21361.68,0
59,20230101,8,7,49,0,1,11614.98,0
60,20230101,8,7,49,0,2,9345.14,0
61,20230101,8,1,6,0,1,4143.76,0
62,20230101,8,1,6,0,2,3333.98,0
63,20230101,8,2,43,0,1,1755.21,0
64,20230101,8,2,43,0,2,1412.21,0
65,20230101,8,1,33,0,1,41764.18,0
